star,tag,text
4,趣味,好きなゲーム
4,技術,好きな言語
4,旅行,旅行するならどこ行きたい？（国内）
4,旅行,旅行どこ行った？（修学旅行・卒業旅行）
4,日常,最近買った高いもの
4,日常,最近買いたいもの
4,旅行,旅行するならどこ行きたい？（海外）
4,その他,しくじった話
3,技術,好きな技術
3,日常,好きな料理
3,趣味,好きな音楽
3,技術,普段触ってる分野
3,日常,好きなスポーツ
3,日常,好きな飲み物
3,日常,好きな色
3,技術,使ってる検索ブラウザ
3,日常,出身地
3,日常,通ってる大学・専門学校
3,日常,好きな動物・飼っている動物
3,日常,最近食べた美味しいもの
3,趣味,好きなアニメ
3,旅行,好きな観光名所
3,日常,好きなラーメン屋さん
3,日常,よく行くコンビニ
3,日常,好きなモンスターの味
3,日常,これまでやってたバイト
3,日常,好きなおにぎりの具
2,日常,最近面白かったこと
2,技術,これから触りたい分野
2,日常,好きな季節
2,日常,普段やってるSNS
2,技術,好きなエディタ
2,日常,好きなパスタ
2,趣味,好きなペンギン
2,趣味,好きなボカロ
2,日常,家と学校の距離
1,日常,天気
1,技術,好きな日本語入力方式
0,その他,
4,技術,Android or IOS
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,
0,その他,